gender,student_ethnicity,parents_degree,lunch,test_prep,math_score,reading_score,writing_score
female,B,bachelor_degree,standard,no,72,72,74
female,C,unknown_college_degree,standard,yes,69,90,88
female,B,master_degree,standard,no,90,95,93
male,A,associate_degree,subsidised,no,47,57,44
male,C,unknown_college_degree,standard,no,76,78,75
female,B,associate_degree,standard,no,71,83,78
female,B,unknown_college_degree,standard,yes,88,95,92
male,B,unknown_college_degree,subsidised,no,40,43,39
male,D,high_school_degree,subsidised,yes,64,64,67
female,B,high_school_degree,subsidised,no,38,60,50
male,C,associate_degree,standard,no,58,54,52
male,D,associate_degree,standard,no,40,52,43
female,B,high_school_degree,standard,no,65,81,73
male,A,unknown_college_degree,standard,yes,78,72,70
female,A,master_degree,standard,no,50,53,58
female,C,unknown_high_school_degree,standard,no,69,75,78
male,C,high_school_degree,standard,no,88,89,86
female,B,unknown_high_school_degree,subsidised,no,18,32,28
male,C,master_degree,subsidised,yes,46,42,46
female,C,associate_degree,subsidised,no,54,58,61
male,D,high_school_degree,standard,no,66,69,63
female,B,unknown_college_degree,subsidised,yes,65,75,70
male,D,unknown_college_degree,standard,no,44,54,53
female,C,unknown_high_school_degree,standard,no,69,73,73
male,D,bachelor_degree,subsidised,yes,74,71,80
male,A,master_degree,subsidised,no,73,74,72
male,B,unknown_college_degree,standard,no,69,54,55
female,C,bachelor_degree,standard,no,67,69,75
male,C,high_school_degree,standard,no,70,70,65
female,D,master_degree,standard,no,62,70,75
female,D,unknown_college_degree,standard,no,69,74,74
female,B,unknown_college_degree,standard,no,63,65,61
female,E,master_degree,subsidised,no,56,72,65
male,D,unknown_college_degree,standard,no,40,42,38
male,E,unknown_college_degree,standard,no,97,87,82
male,E,associate_degree,standard,yes,81,81,79
female,D,associate_degree,standard,no,74,81,83
female,D,unknown_high_school_degree,subsidised,no,50,64,59
female,D,associate_degree,subsidised,yes,75,90,88
male,B,associate_degree,subsidised,no,57,56,57
male,C,associate_degree,subsidised,no,55,61,54
female,C,associate_degree,standard,no,58,73,68
female,B,associate_degree,standard,no,53,58,65
male,B,unknown_college_degree,subsidised,yes,59,65,66
female,E,associate_degree,subsidised,no,50,56,54
male,B,associate_degree,standard,no,65,54,57
female,A,associate_degree,standard,yes,55,65,62
female,C,high_school_degree,standard,no,66,71,76
female,D,associate_degree,subsidised,yes,57,74,76
male,C,high_school_degree,standard,yes,82,84,82
male,E,unknown_college_degree,standard,no,53,55,48
male,E,associate_degree,subsidised,yes,77,69,68
male,C,unknown_college_degree,standard,no,53,44,42
male,D,high_school_degree,standard,no,88,78,75
female,C,unknown_high_school_degree,subsidised,yes,71,84,87
female,C,high_school_degree,subsidised,no,33,41,43
female,E,associate_degree,standard,yes,82,85,86
male,D,associate_degree,standard,no,52,55,49
male,D,unknown_college_degree,standard,yes,58,59,58
female,C,unknown_high_school_degree,subsidised,no,0,17,10
male,E,bachelor_degree,subsidised,yes,79,74,72
male,A,unknown_high_school_degree,subsidised,no,39,39,34
male,A,associate_degree,subsidised,no,62,61,55
female,C,associate_degree,standard,no,69,80,71
female,D,unknown_high_school_degree,standard,no,59,58,59
male,B,unknown_high_school_degree,standard,no,67,64,61
male,D,unknown_high_school_degree,subsidised,no,45,37,37
female,C,unknown_college_degree,standard,no,60,72,74
male,B,associate_degree,subsidised,no,61,58,56
female,C,associate_degree,standard,no,39,64,57
female,D,unknown_college_degree,subsidised,yes,58,63,73
male,D,unknown_college_degree,standard,yes,63,55,63
female,A,associate_degree,subsidised,no,41,51,48
male,C,unknown_high_school_degree,subsidised,no,61,57,56
